昵称,1位,2位,3位,4位,击飞,1位率,2位率,3位率,4位率,击飞率,累计pt,场均收支pt,平顺,场数,
568998,2,2,6,3,0,15.38%,15.38%,46.15%,23.08%,0.00%,-57.80,-4.45,2.7692,13,
笼中火,3,1,3,5,3,25.00%,8.33%,25.00%,41.67%,25.00%,-118.90,-9.91,2.8333,12,
长安仅此,9,9,11,6,2,25.71%,25.71%,31.43%,17.14%,5.71%,158.70,4.53,2.4000,35,
收割现在开始,0,0,1,2,0,0.00%,0.00%,33.33%,66.67%,0.00%,-80.10,-26.70,3.6667,3,
猫猫玖,7,1,3,7,3,38.89%,5.56%,16.67%,38.89%,16.67%,-41.50,-2.31,2.5556,18,
打不过就猛跑,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,27.80,27.80,1.0000,1,
卡哇伊斯的内,3,2,0,0,0,60.00%,40.00%,0.00%,0.00%,0.00%,113.40,22.68,1.4000,5,
伊纸鹤,5,6,3,2,0,31.25%,37.50%,18.75%,12.50%,0.00%,174.10,10.88,2.1250,16,
力气大的剑豪,6,7,3,3,1,31.58%,36.84%,15.79%,15.79%,5.26%,167.00,8.79,2.1579,19,
戈竹,3,2,5,4,0,21.43%,14.29%,35.71%,28.57%,0.00%,-84.70,-6.05,2.7143,14,
ICG1412,0,2,0,1,0,0.00%,66.67%,0.00%,33.33%,0.00%,-8.20,-2.73,2.6667,3,
花花打麻将,8,5,6,7,3,30.77%,19.23%,23.08%,26.92%,11.54%,6.60,0.25,2.4615,26,
南宫夏、,1,2,1,1,0,20.00%,40.00%,20.00%,20.00%,0.00%,46.80,9.36,2.4000,5,
萍馨蕊,11,6,6,1,0,45.83%,25.00%,25.00%,4.17%,0.00%,343.20,14.30,1.8750,24,
你484傻,2,2,2,1,1,28.57%,28.57%,28.57%,14.29%,14.29%,52.60,7.51,2.2857,7,
菜就多练蟹钳,0,3,4,2,1,0.00%,33.33%,44.44%,22.22%,11.11%,-48.20,-5.36,2.8889,9,
何必辞修,0,1,0,1,0,0.00%,50.00%,0.00%,50.00%,0.00%,-7.80,-3.90,3.0000,2,
百猫劫魏营,1,0,0,1,1,50.00%,0.00%,0.00%,50.00%,50.00%,-10.90,-5.45,2.5000,2,
1番狂日4风连吃,6,9,2,4,1,28.57%,42.86%,9.52%,19.05%,4.76%,140.40,6.69,2.1905,21,
灯華,1,2,4,2,0,11.11%,22.22%,44.44%,22.22%,0.00%,-27.60,-3.07,2.7778,9,
灵灵九,4,1,4,5,3,28.57%,7.14%,28.57%,35.71%,21.43%,-72.30,-5.16,2.7143,14,
【神之谷】萌新,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,9.80,9.80,2.0000,1,
凤梨是玻璃吗,5,5,3,6,1,26.32%,26.32%,15.79%,31.58%,5.26%,-9.10,-0.48,2.5263,19,
尘易顺,1,1,0,0,0,50.00%,50.00%,0.00%,0.00%,0.00%,42.90,21.45,1.5000,2,
ホーリーナイト,7,14,8,6,1,20.00%,40.00%,22.86%,17.14%,2.86%,43.60,1.25,2.3714,35,
左拥多肉右抱亮,2,3,5,5,1,13.33%,20.00%,33.33%,33.33%,6.67%,-118.20,-7.88,2.8667,15,
御坂16063号,0,0,1,0,0,0.00%,0.00%,100.00%,0.00%,0.00%,-10.10,-10.10,3.0000,1,
这局胡九万,0,2,2,4,1,0.00%,25.00%,25.00%,50.00%,12.50%,-151.60,-18.95,3.2500,8,
打铁的顿师傅,7,4,2,6,3,36.84%,21.05%,10.53%,31.58%,15.79%,-30.90,-1.63,2.3684,19,
